nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
200,paper_200,"Modeling Multidimensional Data Cubes Based on MDA (Model-Driven Architecture)",2016,,,,,Admin,Predefined,"Not shown","General purpose",UML,Other,"AndroMDA - CASE tool","General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,CSAMA,2016,
201,paper_201,"Platform independent Web application modeling and development with Netsilon",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"AndroMDA - CASE tool","General purpose","class diagram","Source code","Java, C++",Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Journal,MDE,SOSYM,2005,
202,paper_202,"Retrofitting the autobayes program synthesis system with concrete syntax.",2004,,,,,Admin,Predefined,"Not shown",Schema,,Other,AutoBayes,"Structured data","Autobayes schema","Source code","C, C++",No,Standalone,"No validation","Large scale","Embedded systems",Industry,Other,Other,ISDSPG,2004,
203,paper_203,"BEMGA: A HLA Based Simulation Modeling and Development Tool",2007,,,,,Admin,Predefined,"Not shown","General purpose",UML,Other,"Bemga - CASE tool","General purpose","Federation Object Model","Source code",C,No,Standalone,"No validation","Small scale","Simulation ",Academic,Other,Other,,2007,
204,paper_204,"Towards the model-driven development of self-optimizing mechatronic systems",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"CASE Tools","General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","No application","Embedded systems",Academic,Other,MDE,MBEES,2005,
205,paper_205,"ProGUM-Web: Tool support for model-based development of web applications",2003,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"CASE Tools","General purpose","Class diagram","Structured data","HTML ",Yes,Standalone,"No validation","Large scale","Web technology",Academic,Conference,MDE,MODELS,2003,
206,paper_206,"Mapping the UML2 semantics of associations to a Java code generation model",2008,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"CASE Tools","General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,MDE,MODELS,2008,
207,paper_207," A study on automatic code generation tool from design patterns based on the XMI",2006,,,,,Admin,Predefined,"Visible template","General purpose","UML ",Other,"CASE Tools","General purpose","UML diagrams","Structured data",XMI,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICCSA,2006,
208,paper_208,"A scientific data processing framework for time series NetCDF data",2014,,,,,Admin,Output-based,"Not shown",Schema,"Database schema",Other,Cheetah,"Structured data",Database,"Source code","C, Python",No,Intermediate,"No validation","Large scale","Software engineering",Industry,Journal,Other,EMS,2014,
209,paper_209,"The Bosco project: a JMI-compliant template-based code generator",2004,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Other,Cheetah,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,IASSE,2004,
210,paper_210,"Rapid web development using AJAX and Python.",2008,,,,,Admin,Output-based,"Not shown",Schema,,Other,Cheetah,"Structured data","DB schema","Structured data",,No,Standalone,"No validation","Large scale","Web technology",Academic,Conference,Other,CHEP,2008,
211,paper_211,"Parallax â€” An Aspect-Enabled Framework for Plug-in-Based MDA Refinements Towards Middleware",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,Codagen,"General purpose","Class diagram","Source code",,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Other,Other,,2005,
212,paper_212,"Designing universal template for database application system based on abstract factory",2012,,,,,Admin,Predefined,"Composed of each layer\'s distinct template.",Schema,"Database schema",Other,CodeSmith,"Structured data",Database,"Source code","Java ",No,Last,"No validation","Small scale",DB,Academic,Conference,Other,CSIP,2012,
213,paper_213,"A formalizing hybrid model transformation approach for collaborative system",2010,,,,,Admin,Output-based,,"General purpose","UML ",Other,CSCWMDA,"General purpose","Class diagram","Source code",Java,Yes,Last,"No validation","Small scale","Software engineering",Academic,Other,Other,CSCWD,2010,
214,paper_214,"Modeling of Data Adaptable Reconfigurable Embedded Systems",2011,,,,,Admin,Output-based,,Schema,"XML Schema",Other,DARES,"Structured data",XML,"Source code",C,Yes,Last,"No validation","Small scale","Embedded systems",Academic,Conference,Other,ECBS,2011,
215,paper_215,"EduCase: automatic system for the development of educational software",2007,,,,,Admin,Predefined,"Not shown","Domain specific",,Other,"EduCase - CASE tool","Domain specific","X-Tec model","Structured data",HTML,No,Standalone,"No validation","No application",Other,Academic,Conference,Other,EET,2007,
216,paper_216,"Code Generation with the Exemplar Flexibilization Language",2009,,,,,Admin,Output-based,"Visible template","Domain specific","EFL ",Other,EFL,"Domain specific","EFL model","Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Other,Other,WGT,2009,
217,paper_217,"Using DSL for Automatic Generation of Software Connectors",2008,,,,,Admin,Output-based,,Schema,,Other,ElLang,"Structured data",XML,"Source code","C#, Java, C",No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICCBSS,2008,
218,paper_218,"Design and implementation of a software automation development framework for management information system",2014,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",Other,"Four different templates","Structured data",Database,"Source code","C#, SQL",No,Intermediate,"No validation","Small scale","Software engineering",Academic,Conference,Other,AMR,2014,
219,paper_219,"Back-To-Back Testing of Model-Based Code Generators",2014,,,,,Admin,Output-based,"Not shown","Domain specific",jABC,Other,Genesys,"Domain specific","jABC model","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ISOLA,2014,
220,paper_220,"Synthesis from a Practical Perspective",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Other,Genesys,"General purpose","UML diagrams","Source code",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ISOLA,2016,
221,paper_221,"Exchanging the Target-Language in Existing, Non-Metamodel-Based Compilers",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Other,Glue,"General purpose","UML diagrams","Source code",C,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,SAM,2016,
222,paper_222,"Implementing the WebSocket Protocol Based on Formal Modelling and Automated Code Generation",2014,,,,,Admin,Output-based,"Visible template","Domain specific",,Other,"Groovy template","Domain specific","Not specified","Source code",Any,Yes,Standalone,"No validation","Small scale",Networking,Academic,Conference,Other,DAIS,2014,
223,paper_223,"PetriCode: A tool for template-based code generation from CPN models",2014,,,,,Admin,Output-based,"Not shown ","General purpose","UML ",Other,"Groovy template","General purpose","Class diagram","Source code",Groovy,Yes,Last,"No validation","Large scale","Software engineering",Academic,Conference,Other,SEFM,2014,
224,paper_224,"A Higher Order Generative Framework for Weaving Traceability Links into a Code Generator for Web Application Testing",2009,,,,,Admin,Output-based,"Not shown","Domain specific",WebML,Other,"Groovy template","Domain specific","WebML model","Structured data","HTML, XML",Yes,Standalone,"No validation","Small scale","Web technology",Academic,Other,Other,ICWE,2009,
225,paper_225,"Multi-level Tests for Model Driven Web Applications",2010,,,,,Admin,Output-based,"Not shown","Domain specific",WebML,Other,"Groovy template","Domain specific","WebML model","Structured data","HTML, XML",Yes,Standalone,"No validation","Small scale",Testing,Academic,Conference,Other,ICWE,2010,
226,paper_226,"Developing and Optimizing Parallel Programs with Algebra-Algorithmic and Term Rewriting Tools. ",2013,,,,,Admin,Rule-based,"Visible template",Schema,,Other,IDS,"Structured data","Systems of Algorithmic Algebras","Source code","Java, C++",No,Standalone,"No validation","Large scale","Prog. Lang",Academic,Conference,Other,ICTERI,2013,
227,paper_227,"Agent Oriented Software Engineering",2008,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,Ingenias,"General purpose","UML diagrams","Source code",,Yes,Standalone,"No validation","No application","Software engineering",Academic,Other,Other,,2008,
228,paper_228,"Experiences with Model-Driven Engineering in Neurorobotics",2016,,,,,Admin,Output-based,"Not shown",Schema,"XML Schema",Other,Jinja2,"Structured data",XMI,"Source code",Python,Yes,Standalone,"No validation","Small scale",Robotics,Academic,Conference,MDE,ECMFA,2016,
229,paper_229,"An application generator framelet",2008,,,,,Admin,Output-based,,Schema,,Other,Lacie,"Structured data",XML,"Source code",Java,No,Last,"No validation","Large scale","Software engineering",Academic,Conference,SE,SNPD,2008,
230,paper_230,"Supporting the Linked Data Approach to Maintain Coherence Across Rich EMF Models",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Other,Lyo,"General purpose","Ecore diagram","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,ECMFA,2016,
231,paper_231,"The metamodeling approach to system level synthesis. ",2014,,,,,Admin,Output-based,"Not shown","General purpose",Marte,Other,Mako-template,"General purpose",,"Structured data","RTL code, Schematic description",Yes,Standalone,"No validation","No application","Software engineering",Industry,Conference,Other,DATE,2014,
232,paper_232,"Introducing Model-of-Things (MoT) and Model-of-Design (MoD) for simpler and more efficient hardware generators",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Other,Mako-template,"General purpose","UML diagrams","Source code","VHDL code",Yes,Intermediate,"No validation","Small scale","Software engineering",Industry,Conference,Other,VLSI-SoC,2016,
233,paper_233,"Early Experience with Agile Methodology in a Model-Driven Approach",2011,,,,,Admin,Output-based,"Not shown","General purpose",Marte,Other,MasterCraft,"General purpose",,"Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,MODELS,2011,
234,paper_234,"Framework-Specific Modeling Languages with Round-Trip Engineering.",2006,,,,,Admin,Output-based,"Visible template","Domain specific","Framework-specific modeling language",Other,Meta-AspectJ,"Domain specific","FSML model","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2006,
235,paper_235,"Program generators and the tools to make them",2004,,,,,Admin,Output-based,"Not shown",Schema,,Other,Meta-AspectJ,"Structured data",,"Source code",AspectJ,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,PEPM,2004,
236,paper_236,"Generating aspectJ programs with meta-aspectJ",2004,,,,,Admin,Output-based,"Visible template","Programming Language",,Other,Meta-AspectJ,"Source code",,"Source code",AspectJ,No,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Conference,SE,GPCE,2004,
237,paper_237,"Domain-specific languages and program generation with Meta-AspectJ",2008,,,,,Admin,Output-based,"Not shown","Programming Language",,Other,Meta-AspectJ,"Source code","Another program","Source code",Java,No,Standalone,"No validation","Large scale","Prog. Lang",Academic,Journal,SE,TOSEM,2008,
238,paper_238,"The State of the Art in Language Workbenches",2013,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Other,Meta-Edit+,"Domain specific","Not specified","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,SLE,2013,
239,paper_239,"Category theory-based synthesis of a higher-level fusion algorithm: an example",2006,,,,,Admin,Predefined,"The user only invokes SW command on the final step.","Programming Language",,Other,MetaSlang,"Source code","like ouptut","Source code","Lisp code",No,Last,"No validation","Small scale",Networking,Academic,Conference,Other,ICIF,2006,
240,paper_240,"Model-Driven Engineering for Software Migration in a Large Industrial Context",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,"MIA Generation","General purpose","Sequence diagram","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,MODELS,2007,
241,paper_241,"Model driven engineering for SoC co-design. ",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,ModTransf,"General purpose","Class diagram","Source code","VHDL, SystemC",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Other,Other,NEWCAS,2005,
242,paper_242,"A Model Based Testing Approach for Model-Driven Development and Software Product Lines",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,"MOF M2T","General purpose","Sequence diagram","Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Industry,Conference,SE,ENASE,2011,
243,paper_243,"Model Driven Development of Graphical User Interfaces for Enterprise Business Applications â€“ Experience, Lessons Learnt and a Way Forward",2009,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,"MOF M2T","General purpose","Class diagran","Source code",,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,MODELS,2009,
244,paper_244,"A Model-Driven Approach to Enable the Distributed Simulation of Complex Systems",2016,,,,,Admin,Output-based,"Not shown","General purpose",UML,Other,"MOF M2T","General purpose","UML diagrams","Source code",,Yes,Last,"No validation","Small scale","Software engineering",Academic,Conference,Other,CCDM,2016,
245,paper_245,"Software Vulnerability Detection Methodology Combined with Static and Dynamic Analysis",2016,,,,,Admin,Output-based,"Not shown","General purpose",,Other,"MOF M2T","General purpose",,"Source code",,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,WPC,2016,
246,paper_246,"Language and IDE Modularization and Composition with MPS",2013,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Other,MPS,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,SE,GTTSE,2013,
247,paper_247,"Nadzoru: A software tool for supervisory control of discrete event systems",2015,,,,,Admin,Output-based,"Not shown",Schema,,Other,Nadzoru,"Structured data",,"Source code",Any,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,DCDS,2015,
248,paper_248,"NitroScript: A PHP template engine for customizing of e-commerce applications",2012,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",Other,NitroScript,"Structured data",Database,"Source code",PHP,No,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,Other,ITST,2012,
249,paper_249,"A Solution Based on Modeling and Code Generation for Embedded Control System",2009,,,,,Admin,Predefined,"Not shown ","General purpose","UML ",Other,"Not specified","General purpose","UML diagrams","Source code","Cross platform code",Yes,Standalone,"No validation","Small scale","Embedded systems",Academic,Journal,SE,JSEA,2009,
250,paper_250,"An extensible code generation framework for heterogeneous architectures based on IP-XACT",2011,,,,,Admin,Output-based,"Visible template","Programming Language",,Other,"Perl template Toolkit","Source code",IP-XACT,"Source code",C++,No,Last,"No validation","Small scale","Mobile systems",Industry,Conference,Other,SPL,2011,
251,paper_251,"PreparedJS: Secure Script-Templates for JavaScript",2013,,,,,Admin,Predefined,"Visible template",Schema,,Other,PreparedJS,"Structured data",,"Structured data",JavaScript,No,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,DIMVA,2013,
252,paper_252,"Projective template-based code generation",2013,,,,,Admin,Output-based,"Visible template",Schema,,Other,"Projective Template Generator IDE","Structured data",XML,"Source code","C#, SQL",No,Standalone,"No validation","Small scale","Software engineering",Industry,Other,SE,CAISE,2013,
253,paper_253,"Polymorphic templates a design pattern for implementing agile model-to-text transformations",2014,,,,,Admin,Output-based,"Not shown ","Domain specific",,Other,Protokit,"Domain specific","Not specified","Source code","Object Oriented Languages",No,Standalone,"No validation","Small scale","Software engineering",Academic,Other,MDE,XM,2014,
254,paper_254,"EASY Meta-programming with Rascal",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,Rascal,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,SE,GTTSE,2011,
255,paper_255,"Meta-language Support for Type-Safe Access to External Resources",2013,,,,,Admin,Output-based,"Not shown",Schema,,Other,Rascal,"Structured data",,"Source code",Java,No,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,MDE,SLE,2013,
256,paper_256,"The TTC 2014 FIXML case: Rascal solution",2014,,,,,Admin,Output-based,"use of string template",Schema,"XML Schema",Other,Rascal,"Structured data",XML,"Source code","OO languages",Yes,Last,"No validation","Small scale","Software engineering",Academic,Other,MDE,TTC,2014,
257,paper_257,"Embedded C code generation platform for electric vehicle controller",2012,,,,,Admin,Predefined,"Not shown","Domain specific",Simulink,Other,"Real Time Workshop","Domain specific","Simulink model","Source code",C,Yes,Last,"No validation","Large scale","Embedded systems",Industry,Conference,Other,EIMEE,2012,
258,paper_258,"Deriving Safety Cases for Hierarchical Structure in Model-Based Development.",2010,,,,,Admin,Predefined,"Not shown",Schema,,Other,"Real Time Workshop","Structured data",,"Source code","C, C++",No,Standalone,"No validation","Large scale","Embedded systems",Industry,Conference,Other,SAFECOM,2010,
259,paper_259,"Repleo: A syntax-safe template engine",2007,,,,,Admin,Output-based,"Visible template",Schema,,Other,Repleo,"Structured data","Sort of code","Structured data","SDF, Java, SQL, XML",No,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,SE,GPCE,2007,
260,paper_260," Rhizome: a feature modeling and generation platform",2008,,,,,Admin,Predefined,"Not shown","General purpose","Feature Model",Other,Rhizome,"General purpose",FeatureML,"Source code",Any,No,Last,"No validation","Small scale","Software engineering",Academic,Conference,SE,ASE,2008,
261,paper_261,"Statically Safe Program Generation with SafeGen",2005,,,,,Admin,Output-based,"Visible template",Schema,,Other,SafeGen,"Structured data",,"Source code",Java,No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,SE,GPCE,2005,
262,paper_262,"The GeneSEZ approach to model-driven software development",2010,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Other,"Smarty templates","General purpose","Class diagram","Source code",C#,Yes,Standalone,"No validation","No application","Software engineering",Academic,Other,Other,,2010,
263,paper_263,"Code generation by model transformation: a case study in transformation modularity",2010,,,,,Admin,Rule-based,"Not shown","Domain specific",WebDSL,Other,Stratego,"Domain specific","WebDSL data model","Source code",Java,No,Intermediate,"No validation","Large scale","Web technology",Academic,Journal,MDE,SOSYM,2010,
264,paper_264,"An approach to design embedded systems by multi-objective optimization",2012,,,,,Admin,Output-based,"Not shown ",Schema,,Other,T4,"Structured data",XML,"Natural language","Parameters to optmization process",No,Intermediate,"No validation","No application","Embedded systems",Industry,Conference,Other,ATC,2012,
265,paper_265,"Product line development for modular FPGA-based embedded systems",2014,,,,,Admin,Output-based,"Visible template","Programming Language",,Other,T4,"Source code",C#,"Source code","VHDL code",No,Last,"No validation","Small scale","Embedded systems",Academic,Conference,Other,RSP,2014,
266,paper_266,"Testing UML2.0 Models Using TTCN-3 and the UML2.0 Testing Profile",2007,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"Telelogic - CASE tool","General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Large scale",Testing,Industry,Conference,SE,SDL,2007,
267,paper_267,"DSL Tool Development with Transformations and Static Mappings",2009,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Other,"Template Mola","General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2009,
268,paper_268,"A little language for testing",2015,,,,,Admin,Rule-based,"Backus-Naur Form. Visible template","Programming Language",,Other,"Template Scripting Testing Language","Source code","BNF ","Source code",Python,No,Standalone,"No validation","Small scale",Testing,Academic,Conference,Other,NFM,2015,
269,paper_269,"Adding code generation to develop a simulation platform",2011,,,,,Admin,Output-based,,Schema,"XML Schema",Other,"Template similar to java code with metacodes","Structured data",XML,"Source code",Java,Yes,Standalone,"No validation","Small scale","Simulation ",Industry,Conference,Other,LISAT,2011,
270,paper_270,"Modelling Communication Interfaces with ComiX",2001,,,,,Admin,Rule-based,"Visible template","Programming Language",,Other,TempliX,"Source code",ComiX,"Structured data","Ada, VHDL, HTML",No,Standalone,"No validation","Large scale","Embedded systems",Industry,Conference,Other,ICRST,2001,
271,paper_271,"A visual approach for generating server page type Web applications based on template method",2003,,,,,Admin,Predefined,"Not shown ",Schema,,Other,T-Web,"Structured data","WASL ","Structured data","Server page web applications",No,Standalone,"No validation","Small scale","Web technology",Academic,Conference,Other,SHCCLE,2003,
272,paper_272,"Merging Modeling and Programming Using Umple",2016,,,,,Admin,Output-based,"Visible template","General purpose",UML,Other,Umple,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Small scale",Other,Academic,Conference,Other,ISOLA,2016,
273,paper_273,"Advanced model transformation language constructs in the VIATRA2 framework",2006,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Other,Viatra2,"General purpose","Class diagram","Source code",Java,Yes,Last,"No validation","Small scale","Software engineering",Academic,Conference,Other,SAC,2006,
274,paper_274,"Towards increasing web application productivity",2004,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",Other,WebGen,"Structured data",XML,"Source code",Java,No,Standalone,"No validation","Large scale","Web technology",Industry,Conference,Other,SAC,2004,
275,paper_275,"WL++: Code Generation of Multi-platform Mobile Clients to Restful Back-Ends",2015,,,,,Admin,Predefined,"Not visible to user",Schema,XSD,Other,WL++,"Structured data","WL++ data models","Source code","Cross platform mobile source files",No,Last,"No validation","Large scale","Mobile systems",Industry,Conference,Other,MOBILESOFT,2015,
276,paper_276,"XRound: Bidirectional Transformations and Unifications Via a Reversible Template Language",2005,,,,,Admin,Predefined,"Visible template",Schema,"XML Schema",Other,Xround,"Structured data",XML,"Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,ECMFA,2005,
277,paper_277,"Development of dependable real-time systems with Zerberus",2005,,,,,Admin,Output-based,"Not shown ","Programming Language",,Other,"Zerberus ","Source code",Zerberus,"Source code","C, C++",No,Intermediate,"No validation","Small scale","Embedded systems",Academic,Conference,Other,ISDC,2005,
278,paper_278,"Template-based development of fault-tolerant embedded software",2006,,,,,Admin,Output-based,"Source code augmented with zerberus tags","Programming Language",,Other,"Zerberus ","Source code",Zerberus,"Natural language","Natural language in the example shown.",No,Intermediate,"No validation","Small scale","Embedded systems",Academic,Conference,SE,ICSEA,2006,
279,paper_279,"Model-based development of fault-tolerant embedded software",2007,,,,,Admin,Output-based,"Visible template","Programming Language",,Other,"Zerberus ","Source code",Zerberus,"Natural language",,No,Standalone,"No validation","Small scale","Embedded systems",Academic,Conference,Other,ISOLA,2007,
280,paper_280,"Transforming CPN Models into Code for TinyOS: A Case Study of the RPL Protocol",2016,,,,,Admin,Output-based,"Not shown","Domain specific",CPN,Other,,"Domain specific",CPN,"Source code",,Yes,Standalone,"No validation","Small scale",Networking,Academic,Conference,MDE,"PETRI NETS",2016,
281,paper_281,"AIDA compiler: A code synthesizer from programs in pictures",2012,,,,,Admin,Predefined,"Example shown. Looks traditional with more text than metacode.","Programming Language",,Programmed,C++,"Source code",AIDA,"Source code",C++,No,Standalone,"No validation","Large scale",Graphic,Academic,Conference,Other,HCCE,2012,
282,paper_282,"A Model-based Framework for Building Extensible",2012,,,,,Admin,Output-based,"Template is a C++ code augmented with generator code (variable part) ",Schema,"XML Schema",Programmed,"C++ fragments plus generator code","Structured data",XML,"Source code",C++,Yes,Intermediate,"No validation","Small scale","Prog. Lang",Industry,Journal,SE,SPE,2012,
283,paper_283,"Towards an end-user development approach for web engineering methods",2006,,,,,Admin,Predefined,"Not shown",Schema,"XML Schema",Programmed,HTML,"Structured data",XML,"Structured data",HTML,No,Standalone,"No validation","Large scale","Software engineering",Academic,Other,SE,CAISE,2006,
284,paper_284,"A Knowledge-Based Framework for the Rapid Development of Conversational Recommenders",2004,,,,,Admin,Output-based,"Visible template","General purpose","UML ",Programmed,HTML/CSS,"General purpose","Class diagram","Structured data","HTML ",Yes,Standalone,"No validation","Large scale","Web technology",Academic,Other,Other,WISE,2004,
285,paper_285,"Automated code generation using Case-Based Reasoning, Routine Design and Template-Based Programming",2012,,,,,Admin,Output-based,"Visible template",Schema,,Programmed,"Java + placeholder","Structured data",XML,"Source code",Java,No,Standalone,"No validation","Large scale",AI,Academic,Conference,Other,PROQUEST,2012,
286,paper_286,"Flexible and efficient measurement of dynamic bytecode metrics. ",2006,,,,,Admin,Output-based,"Not shown","Programming Language",,Programmed,"Java template","Source code",Java,"Structured data",Bytecode,No,Standalone,"No validation","Small scale","Embedded systems",Academic,Conference,SE,GTTSE,2006,
287,paper_287,"Automatically detecting and describing high level actions within methods",2011,,,,,Admin,Predefined,"Visible template","Programming Language",,Programmed,"Java template","Source code",Java,"Natural language",,No,Intermediate,"No validation","Large scale","Software engineering",Academic,Conference,SE,ICSE,2011,
288,paper_288,"Layout, Content and Logic Separation in Web Engineering",2001,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",Programmed,MyXML,"Structured data",XML,"Structured data","Java, HTML",No,Standalone,"No validation","Large scale","Web technology",Academic,Other,Other,,2001,
289,paper_289,"On pattern-based database design and implementation",2008,,,,,Admin,Output-based,"Visible template",Schema,"Database schema",Programmed,"SQL + metacode","Structured data",Database,"Structured data",SQL,No,Last,"No validation","Small scale",DB,Academic,Conference,SE,SERA,2008,
290,paper_290,"Guess and Verify â€“ Back to the Future",2009,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","UML diagrams","Source code",Any,Yes,Intermediate,"No validation","Large scale","Software engineering",Industry,Conference,Other,FM,2009,
291,paper_291,"Using MDA for Integration of Heterogeneous Components in Software Supply Chains.\" Software Product Lines: Going Beyond.",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","Class diagram","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,SPLC,2010,
292,paper_292,"A Survey on the Implementation of Agent Oriented Specifications",2011,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,SE,AOSE,2011,
293,paper_293,"Exploiting model driven technology: a tale of two startups",2012,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2012,
294,paper_294,"On the Complex Nature of MDE Evolution",2013,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","Class diagram","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,MODELS,2013,
295,paper_295,"Improving Code Generation for Associations: Enforcing Multiplicity Constraints and Ensuring Referential Integrity",2014,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","Class diagram","Source code","Java, C#",Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,SE,SERMA,2014,
296,paper_296,"Statelator - behavioral code generation as an instance of a model transformation",2000,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","State diagram","Source code","Java, C++",Yes,Last,"No validation","Large scale","Software engineering",Industry,Other,SE,CAISE,2000,
297,paper_297,"Model driven architecture: Principles and practice.",2004,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","Class diagram","Source code","Java, C++, C#",Yes,Last,"No validation","Small scale","Software engineering",Industry,Journal,MDE,SOSYM,2004,
298,paper_298,"Exploring a Model-Oriented and Executable Syntax for UML Attributes",2014,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","Class diagram","Source code","Java, C++, PHP",Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,SE,SERMA,2014,
299,paper_299,"Introduction: Models, Modeling, and Model-Driven Architecture (MDA)",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rational,,"General purpose","UML diagrams","Source code","SQL, Java",Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Other,Other,,2005,
300,paper_300,"From multi-modal scenarios to code: Compiling LSCs into aspectJ",2006,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rhapsody,,"General purpose","UML diagrams","Source code",AspectJ,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Conference,SE,FSE,2006,
